num_ligne,Année,UAI,Etablissement,Code région,Region,Académie,Code departement,Département,Code commune,Commune,Secteur,Présents - Toutes séries,Taux de réussite - Toutes séries,Valeur ajoutée du taux de réussite - Toutes séries,Taux d'accès 2nde-bac,Valeur ajoutée du taux d'acces 2nde-bac,Taux de mentions - Toutes séries,Valeur ajoutée du taux de mentions - Toutes séries,Présents - L,Présents - ES,Présents - S,Présents - Gnle,Présents - STI2D,Présents - STD2A,Présents - STMG,Présents - STL,Présents - ST2S,Présents - S2TMD,Présents - STHR,Taux de réussite - L,Taux de réussite - ES,Taux de réussite - S,Taux de réussite - Gnle,Taux de réussite - STI2D,Taux de réussite - STD2A,Taux de réussite - STMG,Taux de réussite - STL,Taux de réussite - ST2S,Taux de réussite - S2TMD,Taux de réussite - STHR,Valeur ajoutée du taux de réussite - L,Valeur ajoutée du taux de réussite - ES,Valeur ajoutée du taux de réussite - S,Valeur ajoutée du taux de réussite - Gnle,Valeur ajoutée du taux de réussite - STI2D,Valeur ajoutée du taux de réussite - STD2A,Valeur ajoutée du taux de réussite - STMG,Valeur ajoutée du taux de réussite - STL,Valeur ajoutée du taux de réussite - ST2S,Valeur ajoutée du taux de réussite - S2TMD,Valeur ajoutée du taux de réussite - STHR,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'accès 1ere-bac,Taux d'accès terminale-bac,Valeur ajoutée du taux d'accès 1ere-bac,Valeur ajoutée du taux d'accès terminale-bac,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - Gnle,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - S2TMD,Taux de mentions - STHR,Valeur ajoutée du taux de mentions - L,Valeur ajoutée du taux de mentions - ES,Valeur ajoutée du taux de mentions - S,Valeur ajoutée du taux de mentions - Gnle,Valeur ajoutée du taux de mentions - STI2D,Valeur ajoutée du taux de mentions - STD2A,Valeur ajoutée du taux de mentions - STMG,Valeur ajoutée du taux de mentions - STL,Valeur ajoutée du taux de mentions - ST2S,Valeur ajoutée du taux de mentions - S2TMD,Valeur ajoutée du taux de mentions - STHR,Nombre de mentions TB avec félicitations - G,Nombre de mentions TB sans félicitations - G,Nombre de mentions B - G,Nombre de mentions AB - G,Nombre de mentions TB avec félicitations - T,Nombre de mentions TB sans félicitations - T,Nombre de mentions B - T,Nombre de mentions AB - T
466,2024,0292137R,LYCEE DIWAN,53,BRETAGNE,RENNES,29,FINISTERE,29024,CARHAIX PLOUGUER,privé sous contrat,88,98,0,93,5,81,12,,,,88,,,,,,,,,,,98,,,,,,,,,,,0,,,,,,,,69,69,81,94,100,-1,2,,,,81,,,,,,,,,,,12,,,,,,,,2,15,20,34,,,,
628,2024,0350053T,LYCEE BERTRAND D'ARGENTRE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35360,VITRE,public,387,97,0,89,2,66,2,,,,289,,,98,,,,,,,,100,,,91,,,,,,,,2,,,-2,,,,,369,366,370,96,99,2,2,,,,75,,,38,,,,,,,,3,,,-4,,,,,4,41,72,100,,,7,30
649,2024,0352318E,LYCEE JEAN BRITO,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35012,BAIN DE BRETAGNE,public,359,97,-1,89,1,68,-1,,,,267,,,92,,,,,,,,97,,,97,,,,,,,,-1,,,2,,,,,341,297,326,95,98,0,0,,,,74,,,52,,,,,,,,-1,,,2,,,,,1,28,73,95,,1,10,37
1005,2024,0560051B,LYCEE ALAIN RENE LESAGE,53,BRETAGNE,RENNES,56,MORBIHAN,56260,VANNES LE PRAT,public,370,96,-1,88,2,70,5,,,,305,37,,28,,,,,,,,97,95,,93,,,,,,,,-1,3,,0,,,,,354,301,311,94,97,0,0,,,,75,54,,29,,,,,,,,5,12,,-9,,,,,6,35,74,115,,,7,21
348,2024,0220117H,LYCEE SACRE-COEUR (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,privé sous contrat,117,98,2,93,8,58,4,,,,28,32,,57,,,,,,,,96,100,,98,,,,,,,,-3,6,,3,,,,,97,117,120,97,99,5,3,,,,89,50,,47,,,,,,,,11,2,,2,,,,,,2,5,18,,1,11,31
447,2024,0290156M,LYCEE ST LOUIS,53,BRETAGNE,RENNES,29,FINISTERE,29026,CHATEAULIN,privé sous contrat,93,100,2,84,-4,83,13,,,,71,,,22,,,,,,,,100,,,100,,,,,,,,2,,,3,,,,,94,96,77,96,100,1,2,,,,89,,,64,,,,,,,,15,,,8,,,,,4,7,22,30,,,5,9
639,2024,0350795Z,LYCEE DE LA SALLE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,72,97,0,84,1,47,-4,,,,,,,72,,,,,,,,,,,97,,,,,,,,,,,0,,,,,36,70,66,88,100,-4,4,,,,,,,47,,,,,,,,,,,-4,,,,,,,,,,,7,27
1001,2024,0560016N,LYCEE BROCELIANDE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56075,GUER,public,122,91,-5,83,-3,53,-6,,,,89,,,33,,,,,,,,94,,,82,,,,,,,,-3,,,-11,,,,,140,129,130,88,92,-5,-4,,,,62,,,30,,,,,,,,-3,,,-12,,,,,1,8,15,31,,,2,8
437,2024,0290034E,LYCEE JEAN-MARIE LE BRIS,53,BRETAGNE,RENNES,29,FINISTERE,29046,DOUARNENEZ,public,116,98,1,83,-4,62,3,,,,95,,,21,,,,,,,,98,,,100,,,,,,,,1,,,4,,,,,104,122,98,94,97,0,0,,,,63,,,57,,,,,,,,1,,,11,,,,,,11,15,34,,,3,9
618,2024,0350005R,LYCEE YVON BOURGES (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35093,DINARD,public,57,96,-3,81,-5,61,-15,,,,,,,,,,,57,,,,,,,,,,,96,,,,,,,,,,,-3,63,65,51,93,93,0,-4,,,,,,,,,,,61,,,,,,,,,,,-15,,,,,,3,14,18
442,2024,0290070U,LYCEE JEAN CHAPTAL,53,BRETAGNE,RENNES,29,FINISTERE,29232,QUIMPER,public,103,98,3,73,-10,54,3,,,,,,,35,22,46,,,,,,,,,97,95,100,,,,,,,,,3,0,5,,,81,114,95,91,97,0,3,,,,,,,40,68,59,,,,,,,,,-5,7,8,,,,,,,,,16,40
444,2024,0290076A,LYCEE DE KERNEUZEC,53,BRETAGNE,RENNES,29,FINISTERE,29233,QUIMPERLE,public,264,98,1,87,0,61,-4,,,,171,,,58,,35,,,,,,99,,,93,,100,,,,,,1,,,-2,,3,,,279,221,266,96,98,2,0,,,,69,,,40,,60,,,,,,-3,,,-7,,2,,,,14,41,63,,2,9,33
621,2024,0350024L,LYCEE EMILE ZOLA,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,296,98,-1,91,2,74,-7,,,,296,,,,,,,,,,,98,,,,,,,,,,,-1,,,,,,,,382,311,315,96,97,0,-2,,,,74,,,,,,,,,,,-7,,,,,,,,9,40,68,101,,,,
340,2024,0220094H,LYCEE CORDELIERS-N-D DE LA VICTOIRE,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22050,DINAN,privé sous contrat,213,99,0,84,-5,79,4,,,,169,,,44,,,,,,,,99,,,95,,,,,,,,0,,,-1,,,,,231,208,205,96,100,1,2,,,,86,,,52,,,,,,,,4,,,3,,,,,4,24,55,63,,,4,19
430,2024,0290009C,LYCEE DE L'IROISE,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,168,98,-1,85,-4,65,-12,,,,168,,,,,,,,,,,98,,,,,,,,,,,-1,,,,,,,,200,127,137,92,97,-4,-2,,,,65,,,,,,,,,,,-12,,,,,,,,2,21,29,58,,,,
436,2024,0290030A,LYCEE PIERRE GUEGUIN (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29039,CONCARNEAU,public,148,98,1,88,2,57,-4,,,,113,,,35,,,,,,,,99,,,94,,,,,,,,1,,,0,,,,,148,161,149,95,99,1,2,,,,63,,,37,,,,,,,,-4,,,-6,,,,,1,4,29,37,,1,3,9
462,2024,0290338K,LYCEE STE ANNE,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,privé sous contrat,197,99,0,88,-3,89,2,,,,197,,,,,,,,,,,99,,,,,,,,,,,0,,,,,,,,220,216,187,98,99,1,0,,,,89,,,,,,,,,,,2,,,,,,,,9,42,75,49,,,,
645,2024,0352009U,LYCEE VICTOR ET HELENE BASCH,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,320,93,-3,86,1,60,-3,,,,236,,,84,,,,,,,,96,,,87,,,,,,,,-2,,,-4,,,,,348,356,319,90,96,-3,-1,,,,68,,,38,,,,,,,,-5,,,2,,,,,3,36,52,69,,2,7,23
650,2024,0352341E,LYCEE ST JOSEPH,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35047,BRUZ,privé sous contrat,226,100,1,86,-3,89,6,,,,194,,,32,,,,,,,,99,,,100,,,,,,,,0,,,2,,,,,257,202,194,95,99,-1,0,,,,91,,,75,,,,,,,,5,,,12,,,,,4,36,68,69,,1,5,18
651,2024,0352471W,LYCEE ST MAGLOIRE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35095,DOL DE BRETAGNE,privé sous contrat,115,98,2,85,-2,66,6,,,,115,,,,,,,,,,,98,,,,,,,,,,,2,,,,,,,,124,114,86,95,99,1,2,,,,66,,,,,,,,,,,6,,,,,,,,2,8,30,36,,,,
331,2024,0220013V,LYCEE DE LA FONTAINE DES EAUX (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,22,COTES D'ARMOR,22050,DINAN,public,376,94,-3,85,-2,60,-1,,,,238,45,,93,,,,,,,,97,91,,89,,,,,,,,-1,-4,,-5,,,,,361,380,314,92,95,-2,-2,,,,70,49,,39,,,,,,,,0,-7,,-3,,,,,2,18,52,95,,,18,40
345,2024,0220107X,LYCEE NOTRE DAME DE CAMPOSTAL,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22266,ROSTRENEN,privé sous contrat,57,98,3,82,-4,60,1,,,,37,,,,,20,,,,,,97,,,,,100,,,,,,0,,,,,7,,,49,40,45,95,100,2,4,,,,68,,,,,45,,,,,,3,,,,,-3,,,1,5,14,5,,1,2,6
439,2024,0290051Y,LYCEE TRISTAN CORBIERE,53,BRETAGNE,RENNES,29,FINISTERE,29151,MORLAIX,public,254,98,1,84,-3,60,-6,,,,143,25,,50,,36,,,,,,100,100,,90,,100,,,,,,1,3,,-4,,3,,,274,263,232,93,98,-2,0,,,,73,60,,42,,33,,,,,,-4,-6,,-1,,-24,,,,16,37,51,1,,9,38
450,2024,0290164W,LYCEE NOTRE DAME DU MUR,53,BRETAGNE,RENNES,29,FINISTERE,29151,MORLAIX,privé sous contrat,137,97,-1,86,-1,63,-2,,,,112,,,25,,,,,,,,96,,,100,,,,,,,,-2,,,4,,,,,117,118,107,89,96,-5,-2,,,,70,,,32,,,,,,,,1,,,-19,,,,,2,9,23,44,,,2,6
457,2024,0290186V,LYCEE LE PARACLET (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29232,QUIMPER,privé sous contrat,54,100,2,91,6,76,-1,,,,,,35,,,,,19,,,,,,100,,,,,100,,,,,,1,,,,,2,52,60,56,98,100,5,3,,,,,,80,,,,,68,,,,,,-1,,,,,-1,,,,,,1,13,27
459,2024,0290198H,LYCEE ST ESPRIT,53,BRETAGNE,RENNES,29,FINISTERE,29105,LANDIVISIAU,privé sous contrat,44,100,2,80,-7,89,18,,,,44,,,,,,,,,,,100,,,,,,,,,,,2,,,,,,,,66,43,40,100,100,5,2,,,,89,,,,,,,,,,,18,,,,,,,,,3,14,22,,,,
654,2024,0352867B,LYCEE LEGTA T. MONOD LE RHEU,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35240,LE RHEU,public,186,98,0,85,-3,72,-2,,,,186,,,,,,,,,,,98,,,,,,,,,,,0,,,,,,,,232,140,153,94,99,-2,1,,,,72,,,,,,,,,,,-2,,,,,,,,,23,33,78,,,,
1013,2024,0560181T,LYCEE SAINT JOSEPH - LA SALLE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56121,LORIENT,privé sous contrat,152,99,1,87,-1,73,2,,,,93,59,,,,,,,,,,98,100,,,,,,,,,,-1,4,,,,,,,204,184,178,93,99,-2,1,,,,80,63,,,,,,,,,,2,2,,,,,,,1,13,26,34,,4,10,23
433,2024,0290013G,LYCEE JULES LESVEN,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,246,96,2,85,1,46,-1,,,,124,,,122,,,,,,,,98,,,94,,,,,,,,3,,,1,,,,,167,248,238,93,98,2,3,,,,56,,,35,,,,,,,,2,,,-6,,,,,,2,12,55,,2,6,35
1015,2024,0560198L,LYCEE ST JOSEPH - LA SALLE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56260,VANNES LE PRAT,privé sous contrat,92,99,2,85,-1,68,4,,,,25,67,,,,,,,,,,100,99,,,,,,,,,,1,2,,,,,,,95,91,73,95,99,1,2,,,,76,66,,,,,,,,,,1,5,,,,,,,,2,4,13,,,12,32
342,2024,0220099N,LYCEE ST JOSEPH,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22093,LAMBALLE,privé sous contrat,264,100,2,87,-1,80,9,,,,183,,,36,,45,,,,,,99,,,100,,100,,,,,,1,,,4,,2,,,276,243,230,99,100,4,2,,,,81,,,67,,87,,,,,,5,,,14,,23,,,2,23,54,70,,6,17,40
445,2024,0290098Z,LYCEE DE CORNOUAILLE,53,BRETAGNE,RENNES,29,FINISTERE,29232,QUIMPER,public,246,95,0,80,-6,56,0,,,,180,,,66,,,,,,,,95,,,94,,,,,,,,-2,,,3,,,,,240,243,234,88,95,-5,-1,,,,64,,,32,,,,,,,,-1,,,-1,,,,,2,16,31,67,,,2,19
449,2024,0290160S,LYCEE ST FRANCOIS-NOTRE DAME,53,BRETAGNE,RENNES,29,FINISTERE,29124,LESNEVEN,privé sous contrat,139,99,0,91,1,86,10,,,,139,,,,,,,,,,,99,,,,,,,,,,,0,,,,,,,,216,194,139,94,99,-2,0,,,,86,,,,,,,,,,,10,,,,,,,,4,23,41,51,,,,
458,2024,0290194D,LYCEE SAINT BLAISE,53,BRETAGNE,RENNES,29,FINISTERE,29046,DOUARNENEZ,privé sous contrat,49,100,5,66,-19,69,15,,,,49,,,,,,,,,,,100,,,,,,,,,,,5,,,,,,,,57,29,38,95,100,2,4,,,,69,,,,,,,,,,,15,,,,,,,,1,2,9,22,,,,
646,2024,0352072M,INSTITUTION ST MALO-PROVIDENCE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35288,SAINT MALO,privé sous contrat,328,100,1,93,3,70,-8,,,,269,,,59,,,,,,,,100,,,98,,,,,,,,1,,,0,,,,,306,322,291,96,98,0,-1,,,,76,,,42,,,,,,,,-6,,,-17,,,,,6,28,70,101,,,3,22
648,2024,0352304P,LYCEE SEVIGNE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35051,CESSON SEVIGNE,public,333,98,-1,92,2,77,-1,,,,263,,,70,,,,,,,,99,,,94,,,,,,,,0,,,-2,,,,,381,396,362,97,98,1,-1,,,,83,,,53,,,,,,,,-2,,,0,,,,,5,41,93,80,,,5,32
1012,2024,0560119A,LYCEE STE ANNE-ST LOUIS (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56263,SAINTE ANNE D AURAY,privé sous contrat,200,100,2,86,-2,77,7,,,,154,,,46,,,,,,,,100,,,98,,,,,,,,1,,,2,,,,,120,165,189,94,99,-1,1,,,,81,,,63,,,,,,,,5,,,15,,,,,2,14,49,60,,,4,25
642,2024,0350808N,LYCEE STE JEANNE D'ARC (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35360,VITRE,privé sous contrat,247,100,2,88,0,70,3,,,,195,28,,24,,,,,,,,100,100,,100,,,,,,,,2,4,,3,,,,,280,243,232,96,100,1,2,,,,72,71,,54,,,,,,,,2,12,,-2,,,,,,21,48,71,,1,12,20
635,2024,0350783L,LYCEE ST MARTIN QUARTIER STE GENEVIEVE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,126,98,-1,82,-7,73,-4,,,,96,,30,,,,,,,,,98,,100,,,,,,,,,0,,1,,,,,,149,125,122,92,98,-4,-1,,,,67,,93,,,,,,,,,-8,,9,,,,,,1,8,21,34,,1,14,13
454,2024,0290174G,LYCEE NOTRE DAME DE KERBERTRAND,53,BRETAGNE,RENNES,29,FINISTERE,29233,QUIMPERLE,privé sous contrat,84,100,2,89,1,77,7,,,,61,,,23,,,,,,,,100,,,100,,,,,,,,1,,,3,,,,,96,93,93,98,100,3,2,,,,84,,,61,,,,,,,,8,,,7,,,,,,3,15,33,,,,14
1014,2024,0560182U,LYCEE JEANNE D'ARC-ST IVY (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56178,PONTIVY,privé sous contrat,311,98,1,89,2,73,9,,,,191,44,,76,,,,,,,,99,98,,97,,,,,,,,1,3,,2,,,,,296,274,291,97,99,3,2,,,,80,73,,57,,,,,,,,7,20,,9,,,,,2,19,51,81,,1,23,51
638,2024,0350793X,LYCEE FREDERIC OZANAM (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35051,CESSON SEVIGNE,privé sous contrat,229,97,0,90,3,61,-4,,,,100,78,,43,8,,,,,,,98,100,,91,100,,,,,,,0,3,,-4,,,,,209,256,230,93,98,0,1,,,,71,58,,37,88,,,,,,,-2,-8,,-7,,,,,1,9,20,41,1,7,25,35
1003,2024,0560026Z,LYCEE JEAN-BAPTISTE COLBERT (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56121,LORIENT,public,270,96,0,83,-2,63,-2,,,,160,98,,,12,,,,,,,98,94,,,92,,,,,,,0,1,,,-4,,,,237,261,304,93,98,0,1,,,,72,47,,,67,,,,,,,-3,-2,,,-1,,,,1,22,36,56,,4,18,32
1009,2024,0560105K,LYCEE LA MENNAIS (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56165,PLOERMEL,privé sous contrat,434,99,1,88,-1,75,2,,,,270,55,,109,,,,,,,,99,100,,100,,,,,,,,0,2,,2,,,,,422,378,398,96,99,1,1,,,,79,69,,67,,,,,,,,1,-1,,7,,,,,5,31,81,96,,3,25,83
351,2024,0221589H,LYCEE ST JOSEPH,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22136,LOUDEAC,privé sous contrat,43,98,5,84,2,58,6,,,,28,,,15,,,,,,,,96,,,100,,,,,,,,-1,,,14,,,,,75,53,50,95,95,4,1,,,,64,,,47,,,,,,,,-2,,,20,,,,,,,8,10,,,,7
446,2024,0290108K,LYCEE DUPUY DE LOME (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,61,100,5,84,3,46,-7,,,,,16,,,,45,,,,,,,100,,,,100,,,,,,,5,,,,5,,,46,84,64,89,94,-2,-1,,,,,44,,,,47,,,,,,,-12,,,,-6,,,,,,,,2,8,18
624,2024,0350029S,LYCEE JOLIOT-CURIE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,323,92,-4,77,-8,54,-6,,,,129,119,,54,21,,,,,,,97,89,,87,90,,,,,,,-1,-5,,-7,-6,,,,198,291,340,90,94,-3,-3,,,,67,48,,30,62,,,,,,,-4,-5,,-12,-5,,,,,12,33,42,,5,13,68
632,2024,0350776D,LYCEE ST VINCENT-PROVIDENCE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,216,100,1,88,-2,84,-2,,,,216,,,,,,,,,,,100,,,,,,,,,,,1,,,,,,,,233,215,203,96,100,0,1,,,,84,,,,,,,,,,,-2,,,,,,,,8,36,73,65,,,,
643,2024,0351907H,LYCEE RENE DESCARTES,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,343,96,-1,91,5,67,0,,,,258,,,85,,,,,,,,98,,,89,,,,,,,,-1,,,-3,,,,,378,348,340,95,97,1,0,,,,76,,,39,,,,,,,,-1,,,0,,,,,4,38,63,91,,,5,28
1010,2024,0560114V,LYCEE ST FRANCOIS-XAVIER,53,BRETAGNE,RENNES,56,MORBIHAN,56260,VANNES,privé sous contrat,201,100,1,77,-13,80,0,,,,201,,,,,,,,,,,100,,,,,,,,,,,1,,,,,,,,198,181,191,88,100,-8,1,,,,80,,,,,,,,,,,0,,,,,,,,2,28,62,68,,,,
431,2024,0290010D,LYCEE DE L'HARTELOIRE,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,129,98,2,83,-3,71,6,,,,129,,,,,,,,,,,98,,,,,,,,,,,2,,,,,,,,123,76,98,91,100,-3,3,,,,71,,,,,,,,,,,6,,,,,,,,2,11,36,42,,,,
620,2024,0350022J,LYCEE BEAUMONT,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35236,REDON,public,207,94,-2,80,-6,63,6,,,,137,18,,52,,,,,,,,98,89,,85,,,,,,,,1,0,,-10,,,,,220,200,215,92,96,-1,-1,,,,77,39,,35,,,,,,,,12,5,,-8,,,,,,13,37,55,,,4,21
429,2024,0290008B,LYCEE AMIRAL RONARC'H,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,313,98,0,90,2,73,2,,,,250,,,63,,,,,,,,98,,,100,,,,,,,,0,,,4,,,,,331,332,311,94,97,-1,-1,,,,77,,,54,,,,,,,,0,,,5,,,,,5,38,75,75,,1,8,25
465,2024,0292047T,LYCEE DU LEON,53,BRETAGNE,RENNES,29,FINISTERE,29105,LANDIVISIAU,public,121,99,2,84,-3,62,-3,,,,94,,,27,,,,,,,,100,,,96,,,,,,,,2,,,2,,,,,141,133,101,92,99,-2,2,,,,70,,,33,,,,,,,,0,,,-13,,,,,1,7,29,29,,,2,7
